BlockType,X,Y
Block,0,0
Block,1,0
Block,2,0
Block,3,0
Block,4,0
Block,5,0
Block,6,0
FinalBlock,6,5
Block,7,0
Block,8,0
Block,9,0
Block,10,0
Block,11,0
Block,12,0
Block,13,0
Block,14,0
Block,15,0
Block,16,0
Block,17,0
Block,18,0
Block,19,0
Block,21,0
Block,22,0
Block,23,0
Block,24,0
Block,26,0
Block,27,0
Block,28,0
Block,29,0
Block,31,0
Block,32,0
Block,33,0
Block,34,0
Block,36,0
Block,37,0
Block,38,0
Block,39,0
Block,41,0
SpeedBoostBlock,41,4
Block,42,0
Block,43,0
SpeedBoostBlock,43,4
Block,44,0
SpeedBoostBlock,45,4
Block,46,0
Block,47,0
Block,48,0
Block,49,0
Block,50,0
Block,51,0
Block,52,0
Block,53,0
SlowBlock,53,4
Block,54,0
Block,55,0
Block,56,0
SlowBlock,56,4
Block,57,0
Block,58,0
Block,59,0
SlowBlock,59,4
Block,60,1
Block,61,1
Block,62,1
Block,63,1
Block,64,1
Block,65,1
Block,66,1
Block,67,1
Block,68,1
Block,69,1
Block,70,2
Block,71,2
Block,72,2
Block,73,2
Block,74,2
Block,75,2
Block,76,2
Block,77,2
Block,78,2
Block,79,2
Block,80,3
Block,81,3
Block,82,3
Block,83,3
KillBlock,83,7
Block,84,3
Block,85,3
Block,86,3
Block,87,3
Block,88,3
Block,89,3
Block,90,4
Block,91,4
Block,92,4
Block,93,4
Block,94,4
Block,95,4
Block,96,4
Block,97,4
Block,98,4
Block,99,4
Block,101,3
Block,105,1
Block,108,3
Block,112,1
Block,115,3
Block,119,1
Block,122,3
Block,126,1
Block,129,3
Block,133,1
Block,136,3
Block,140,1
Block,143,3
Block,147,1
Block,150,2
Block,151,3
Block,152,0
Block,153,1
Block,154,2
Block,155,3
Block,156,0
Block,157,1
Block,158,2
Block,159,3
Block,160,0
Block,161,1
Block,162,2
Block,163,3
Block,164,0
Block,165,1
Block,166,2
Block,167,3
Block,168,0
Block,169,1
Block,170,2
Block,171,3
Block,172,0
Block,173,1
Block,174,2
Block,175,3
Block,176,0
Block,177,1
Block,178,2
Block,179,3
Block,180,0
Block,181,1
Block,182,2
Block,183,3
Block,184,0
Block,185,1
Block,186,2
Block,187,3
Block,188,0
Block,189,1
Block,190,2
Block,191,3
Block,192,0
Block,193,1
Block,194,2
Block,195,3
Block,196,0
Block,197,1
Block,198,2
Block,199,3
Block,200,0
Block,201,0
Block,202,0
Block,203,0
Block,204,0
Block,205,1
Block,206,1
Block,207,1
Block,208,1
Block,209,1
Block,210,2
Block,211,2
Block,212,2
Block,213,2
Block,214,2
Block,215,3
Block,216,3
Block,217,3
Block,218,3
Block,219,3
Block,220,4
Block,221,4
Block,222,4
Block,223,4
Block,224,4
Block,225,5
Block,226,5
Block,227,5
Block,228,5
Block,229,5
Block,230,6
Block,231,6
Block,232,6
Block,233,6
Block,234,6
Block,235,7
Block,236,7
Block,237,7
Block,238,7
Block,239,7
Block,240,8
Block,241,8
Block,242,8
Block,243,8
Block,244,8
Block,245,9
Block,246,9
Block,247,9
Block,248,9
Block,249,9
Block,250,10
Block,251,10
Block,252,10
Block,253,10
Block,254,10
Block,255,0
FinishBlock,255,3
