blockType,X,Y
basicBlock,0,0
basicBlock,1,0
basicBlock,2,0
basicBlock,3,0
basicBlock,4,0
basicBlock,5,0
basicBlock,6,0
basicBlock,7,0
basicBlock,9,0
basicBlock,10,0
basicBlock,11,0
basicBlock,12,1
basicBlock,13,2
basicBlock,14,3
basicBlock,15,0
basicBlock,16,0
basicBlock,20,0
basicBlock,20,1
basicBlock,20,2
basicBlock,21,0
basicBlock,22,0
basicBlock,25,0
basicBlock,26,0
basicBlock,27,0
basicBlock,28,1
basicBlock,29,2
basicBlock,30,3
basicBlock,31,3
basicBlock,32,3
basicBlock,35,0
basicBlock,36,0
basicBlock,37,0
basicBlock,40,0
basicBlock,41,1
basicBlock,42,2
basicBlock,43,3
basicBlock,44,4
basicBlock,45,4
basicBlock,46,4
basicBlock,47,4
basicBlock,48,0
basicBlock,49,0
basicBlock,50,0
